Date,City,Cause of Death
2003-01-14,"Jiquilisco, Usulutan , El Salvador",Homicide
2002-11-07,"Usulutan, El Salvador",Vehicle Accident - Auto
2002-10-29,"San Ramon, Mejicanos, San Salvador, El Salvador",Homicide
2002-10-13,"San Salvador, El Salvador",Homicide
2010-08-15,"Aseng Field, Equatorial Guinea",Suicide
2010-05-28,"Bata, Litoral, Equatorial Guinea",Other Accident
2006-07-09,"Luba Freeport, Equatorial Guinea",Other Accident
2003-06-15,"Asmara, Eritrea",Homicide
2005-08-10,"Tallin, Estonia",Air Accident
2005-08-10,"Tallin, Estonia",Air Accident
2003-11-02,"Tallin, Estonia",Suicide
2012-11-14,"Bahir Dar, Ethiopia",Vehicle Accident - Bus
2012-03-11,"Addis Ababa, Ethiopia",Vehicle Accident - Auto
2012-03-08,"Addis Ababa, Ethiopia",Other Accident
2012-01-18,"Woregarso, Ethiopia",Vehicle Accident - Bus
2011-04-24,"Addis Ababa, Ethiopia",Suicide
2011-03-31,"Addis Ababa, Ethiopia",Other Accident
2011-03-30,"Addis Ababa, Ethiopia",Vehicle Accident - Auto
2011-01-10,"Addis Ababa, Ethiopia",Homicide
2009-01-31,"Addis Ababa, Ethiopia",Homicide
2008-12-28,"Addis Ababa, Ethiopia",Suicide
2007-11-29,"Konso, Ethiopia",Vehicle Accident - Auto
2007-11-29,"Konso, Ethiopia",Vehicle Accident - Auto
2004-01-24,"Meke Town, 130 Km Far From Addis Ababa",Vehicle Accident - Auto
2003-07-09,"Addis Ababa, Ethiopia",Vehicle Accident - Auto
2011-11-27,"Tahiti, Fiji",Drowning
2011-09-09,"Tahiti, Fiji",Drowning
2010-09-05,"Suva, Fiji",Drowning
2010-06-13,"Suva, Fiji",Maritime Accident
2010-04-01,"Suva, Fiji",Suicide
2010-03-27,"Soqulu,Taveuni,Taveuni, Fiji",Drowning
2009-11-13,"Cakaudrove, Fiji",Maritime Accident
2009-10-10,"Namulomulon, Fiji",Vehicle Accident - Auto
2009-07-04,"Moorea,Fiji",Drowning
2009-04-06,"Sau Bay, Vanua Levu, Fiji",Drowning
2009-04-06,"Sau Bay,vanua Levu, Fiji",Other Accident
2009-01-09,"Nunue, Bora Bora, Fiji",Drowning
2008-09-23,"Outrigger Reef Resort,sigatoka",Drowning
2008-08-25,"Monriki Island, Yasawa, Fiji,lautoka",Drowning
2008-08-25,"Castaway Island Resort,lautoka",Drowning
2008-05-24,"Navua, Navua, Fiji",Drowning
2007-12-06,"Lautoka, Fiji",Other Accident
2007-07-08,"Suva, Rewa, Fiji",Homicide
2007-06-13,"Bora Bora, Tahiti",Drowning
2007-02-15,"South Seas Island, Nadi, Fiji",Drowning - Ocean
2006-11-13,"Suva, Fiji",Other Accident
2005-11-20,"Huahine, Tahiti, French Polynesia",Drowning
2005-05-10,"Matangi Island, Taveuni, Fiji",Drowning
2004-08-11,"Bounty Island Sea Front, Yasawa, Lautoka, Fiji",Drowning
2004-03-17,Fiji,Drowning
2004-02-24,"Naviti, Yasawa, Fiji",Drowning
2012-10-22,"Kemi, Finland",Homicide
2010-01-12,"Jomala, Finland",Other Accident
2009-04-12,"Helsinki, Finland",Other Accident
2007-10-12,"Kautta, Finland",Vehicle Accident - Auto
2007-07-18,"Rovaniemi, Finland",Other Accident
2006-11-23,"Kouvola, Finland",Vehicle Accident - Auto
2006-07-07,"Turku, Finland",Other Accident
2004-02-16,"Terrain Of Hollola, Finland",Air Accident
2012-09-14,"Nice, France",Vehicle Accident - Motorcycle
2012-09-10,"Paris, France",Suicide
2012-08-17,"Izaguette, France",Drowning
2012-07-13,"Le Castellet, France",Air Accident
2012-07-13,"Le Castellet, France",Air Accident
2012-07-13,"Le Castellet, France",Air Accident
2012-06-15,"Le Porge, France",Drowning
2012-06-02,"Villepinte, France",Other Accident
2012-03-12,"Paris, France",Suicide
2012-01-23,"Thenac, France",Suicide
2011-12-19,"Paris, France",Suicide
2011-11-24,"Saint-Lanne, France",Vehicle Accident - Auto
2011-11-14,"Angers, France",Suicide
2011-10-16,"Haute-Savoie, France",Other Accident
2011-08-22,"Medreac, Paris, France",Vehicle Accident - Motorcycle
2011-08-10,"Dognen, Paris, France",Drowning
2011-06-07,"Saint Nazaire, France",Suicide
2011-05-16,"Avranches, France",Other Accident
2011-04-14,"Paris, France",Other Accident
2010-11-17,"Paris, France",Suicide
2010-09-30,"Nice, France",Vehicle Accident - Pedestrian
2010-07-05,"Cannes, France",Drowning
2010-06-28,"Etap Hotel, Prom. des Anglais,Nice 06000",Suicide
2010-04-28,"Tournie, ,46250 Gindou",Other Accident
2010-03-11,"3 Rue Elysee Reclus,Paris 75007",Other Accident
2009-12-31,"Asco, France",Other Accident
2009-10-13,"Aulnay Sous Bois, France",Homicide
2009-06-08,"Atlantic Ocean Off The Archipelago Fernando De Noronha, Brazil- North 02? 58'8"" /west 030? 35'4""",Air Accident
2009-06-08,"Atlantic Ocean Off The Archipelago Fernando De Noronha, Brazil- North 02? 58'8"" /west 030? 35'4""",Air Accident
2009-03-31,"Eyguieres, France",Other Accident
2009-03-30,"Monjaux, France",Suicide
2008-10-27,"Neuille-le-lierre, France",Vehicle Accident - Auto
2008-09-21,"Paris, France",Suicide
2008-07-10,"Paris, France",Suicide
2007-11-21,"Fontainebleau, France",Drowning
2007-09-11,"Chenmin Des Oliviers,tavel, France",Suicide
2007-03-05,"Paris, France ",Suicide
2007-02-11,"La Pas De La Ville, Gresse En Vercors, France",Air Accident
2007-02-10,"La Pas De La Ville, Gresse En Vercors, France",Air Accident
2007-02-10,"La Pas De La Ville, Gresse En Vercors, France",Air Accident
2006-05-19,"Chateauroux, France",Vehicle Accident - Auto
2006-05-18,"Chateauroux, France",Vehicle Accident - Auto
2006-03-06,"Tignes, France",Other Accident
2005-12-28,"80 Avenue G. Pompidou, Perigueux, France",Other Accident
2005-12-21,"Lle Vesinet, France",Suicide
2005-11-17,"Paris, France",Suicide
2005-11-01,"Charenton Le Pont, France",Drowning
2005-10-08,"Paris, France",Vehicle Accident - Auto
2005-09-23,"Roissy Charles De Gaulle Aiprot, Le Mesnil Amelot, France",Other Accident
2005-09-08,"Roquebrune, France",Vehicle Accident - Auto
2005-09-05,"Annecy Le Vieux, France",Homicide
2005-08-12,"Paris, France",Suicide
2005-08-05,"Fronton, Haute-garonne, France",Vehicle Accident - Auto
2005-07-17,"La Costelle, Le Beulay, France",Drowning
2005-05-23,"Paris, France",Suicide
2005-04-14,"Paris, France",Other Accident
2004-12-17,"Paris, France",Suicide
2004-09-25,"Under A64 Highway Bridge, Mascaras, Lieu Dit L'arret D'arret, France",Vehicle Accident - Auto
2004-09-10,"Route Des Cloux, Champniers, France",Vehicle Accident - Auto
2004-08-16,"Hospital Henri Modor, Creteil, France",Other Accident
2004-07-20,"Paris, France",Suicide
2004-07-16,"Limoges, France",Suicide
2004-05-08,"Albertville, France",Suicide
2004-05-05,"Rouen, France",Suicide
2004-05-03,"Chamonix Mont Blanc, France",Other Accident
2004-04-26,"149 Rue De Sevres, Paris, France",Vehicle Accident - Bus
2004-04-18,"On The A104 Highway Near The Two Of Mitry-mory, France",Vehicle Accident - Bus
2004-04-11,"Grenoble, Varces, France",Suicide
2004-03-21,"Paris, France",Suicide
2004-02-08,"Hospital Pitie Salpetriere, Paris, France",Other Accident
2003-08-31,"Hericy-sur-seine, France",Suicide
2003-07-02,"Le Bouscat, France",Suicide
2003-06-02,"Fleury-merogis, France",Suicide
2003-05-14,"Les Gets, France",Suicide
2003-05-02,"Toulouse, France",Suicide
2003-02-07,"Theillay, France",Vehicle Accident - Auto
2003-01-08,"Paris, France",Suicide
2002-11-06,"Nancy, France",Train Accident
2002-11-06,"Nancy, France",Train Accident
2002-11-06,"Nancy, France",Train Accident
2002-11-06,"Nancy, France",Train Accident
2002-11-06,"Nancy, France",Train Accident
2005-11-20,"Huahine, Tahiti, French Polynesia",Drowning
2005-11-20,"Huahine, Tahiti, French Polynesia",Drowning
2005-04-02,"Vaitape, Borabora, French Polynesia",Drowning
2005-01-22,"Island Of Raiatea, Tahiti, French Polynesia",Drowning
2005-01-21,"Uturoa, Raiatea, Tahiti, French Polynesia",Drowning
2004-07-21,"Tahiti, French Polynesia",Drowning
2004-04-09,"Moorea, Tahiti, French Polynesia",Drowning
2004-02-06,"Moorea, Tahiti, French Polynesia",Drowning
2011-11-19,"Brufut, Banjul, The Gambia",Drowning
2009-08-08,"Foni Bintang District, Gambia",Vehicle Accident - Auto
2008-03-21,"Bakau,banjul, The Gambia",Drowning
2012-08-08,"Chokhatauri, Georgia",Other Accident
2012-05-27,"Tbilisi, Georgia",Vehicle Accident - Auto
2008-04-27,"Chumateleti, Khashuri Region, Georgia",Vehicle Accident - Pedestrian
2012-11-07,"Kaiserslautern, Germany",Other Accident
2012-11-04,"Kaufbeuren, Germany",Suicide
2012-10-01,"Koln, Germany",Homicide
2012-09-18,"Koln, Germany",Suicide
2012-09-15,"Ludwigshafen, Germany",Other Accident
2012-09-05,"Geldern, Germany",Other Accident
2012-08-21,"Bremerhaven, Germany",Other Accident
2012-08-07,"Berlin, Germany",Suicide
2012-05-27,"Ofenbach Am Main, Germany",Drowning
2012-05-22,"Hamburg, Germany",Other Accident
2012-04-28,"Wiesbaden, Germany",Other Accident
2012-03-13,"Nuernberg, Bavaria, Germany",Other Accident
2012-03-03,"Berlin-Neukoelln, Germany",Train Accident
2012-02-17,"Berlin, Germany",Suicide
2012-02-15,"Soest, Germany",Other Accident
2012-01-31,"Handewitte, Germany",Train Accident
2012-01-21,"Hamburg, Germany",Vehicle Accident - Other
2011-12-16,"Koeln, Germany",Suicide
2011-11-11,"Moessingen, Germany",Other Accident
2011-11-04,"Hochspeyer, Germany",Vehicle Accident - Auto
2011-10-13,"Bruenzow, Germany",Other Accident
2011-10-02,"Hanau, Germany",Other Accident
2011-10-02,"Bavaria, Germany",Vehicle Accident - Auto
2011-09-04,"Villingen-Schwenningen, Germany",Vehicle Accident - Auto
2011-09-01,"Hamburg, Germany",Homicide
2011-08-26,"Mannheim, Germany",Suicide
2011-08-14,"Darmstadt, Germany",Other Accident
2011-08-13,"Berlin, Germany",Other Accident
2011-07-30,"Oldenburg, Germany",Other Accident
2011-07-20,"Wuppertal, Germany",Drug-Related
2011-07-15,"Villingen-Schwenningen, Germany",Other Accident
2011-07-14,"Trier, Germany",Other Accident
2011-07-03,"Mainz, Germany",Other Accident
2011-05-22,"Frankfurt, Germany",Suicide
2011-04-05,"Heidelberg, Germany",Suicide
2011-03-30,"Bad Soden, Germany",Suicide
2011-03-13,"Bad Soden-Salmuenster, Germany",Suicide
2011-02-21,"Muenster, Germany",Other Accident
2011-02-19,"Offenbach, Germany",Suicide
2011-02-04,"Karlsburg, Mecklenburg-Vorpommern, Germany",Suicide
2011-01-23,"Duesseldorf, Germany",Suicide
2011-01-04,"Forrest, Kaiserslautern, Germany",Suicide
2010-12-18,"Pirmasens, Germany",Other Accident
2010-12-06,"Duesseldorf, Germany",Drug-Related
2010-12-02,"Schaebisch Gmuend, Germany",Vehicle Accident - Auto
2010-11-23,"Stuttgart, Germany",Vehicle Accident - Other
2010-08-29,"Sembach, Germany",Suicide
2010-06-10,"Franfkurt, Germany",Drug-Related
2010-06-05,"Hadamar, Germany",Suicide
2010-04-28,"Horb am Neckar, Germany",Suicide
2010-04-21,"Kaiserslautern, Germany",Other Accident
2010-03-14,"Stuttgart, Germany",Other Accident
2010-03-03,"Frankfurt, Germany",Other Accident
2010-01-16,"Berlin, Germany",Suicide
2010-01-12,"Kaiserslautern, Germany",Homicide
2010-01-11,"Nuernberg,Bavaria, Germany",Suicide
2010-01-03,"Amberg,Bavaria, Germany",Drug-Related
2010-01-02,"Maintal, Germany",Vehicle Accident - Auto
2009-12-15,"Boppard, Germany",Other Accident
2009-11-12,"Frankfurt, Germany",Suicide
2009-11-04,"Heidelberg, Germany",Suicide
2009-10-28,"Nuernberg,Bavaria, Germany",Drug-Related
2009-10-09,"Sigmarszell,Bavaria, Germany",Vehicle Accident - Auto
2009-09-14,"Hergenroth, Germany",Vehicle Accident - Auto
2009-09-12,"Berlin, Germany",Drug-Related
2009-07-25,"Freudenberg, Germany",Vehicle Accident - Auto
2009-07-22,"Munich,Bavaria, Germany",Vehicle Accident - Other
2009-07-11,"Duesseldorf, Germany",Suicide
2009-07-07,"Olching,Bavaria, Germany",Vehicle Accident - Auto
2009-06-29,"Frankfurt, Germany",Suicide
2009-05-28,"Salinenweg, Grosskarolinenfeld, Bavaria, Germany",Other Accident
2009-05-16,"Rottenburg Am Neckar, Germany",Suicide
2009-05-01,"Freiburg, Germany",Vehicle Accident - Auto
2009-04-23,"Wilnsdorf-obersdorf, Germany",Other Accident
2009-04-19,89584 Ehingen (donau),Vehicle Accident - Motorcycle
2009-04-08,"Germany, Bonn",Suicide
2009-03-23,"Frankfurt, Germany",Suicide
2009-02-25,"Munich, Bavaria, Germany",Suicide
2009-02-22,"Hamburg, Germany",Suicide
2009-02-21,"Wuerzburg, Bavaria, Germany",Other Accident
2009-02-20,"Munich, Bavaria, Germany",Other Accident
2009-02-09,"Main River, Frankfurt Am Main",Suicide
2009-01-21,"Mannheim, Germany",Drug-Related
2009-01-20,"Seeheim-jugenheim, Germany",Vehicle Accident - Auto
2008-11-10,"Felsbergg, Germany",Suicide
2008-10-28,"Erlangen, Bavaria, Germany",Suicide
2008-10-28,"Erlangen, Bavaria, Germany",Homicide
2008-09-06,"Berlin, Germany",Suicide
2008-08-31,"Wuppertal, Germany",Other Accident
2008-07-26,"Aachen, Germany",Suicide
2008-07-04,"Erbach-bach, Germany",Vehicle Accident - Auto
2008-04-09,"Eichenzell, Germany",Vehicle Accident - Auto
2008-04-09,"Karlsruhe, Germany",Maritime Accident
2008-02-23,"Karlsruhe, Germany",Suicide
2008-02-20,"Baumholder, Germany",Suicide
2008-02-18,"Ruesselsheim, Germany",Suicide
2008-02-07,"Hospital ""westpfalzklinikum"", 67655 Kaiserslautern",Maritime Accident
2008-01-30,"Hamburg, Germany",Other Accident
2008-01-06,"Hospital ""westpfalzklinikum"", 67655 Kaiserslautern",Other Accident
2007-12-30,"Bavaria, Germany",Other Accident
2007-10-18,"B-9, Between Bingen And Trechtingshausen, Germany",Vehicle Accident - Auto
2007-10-06,"Niestatel, Germany",Maritime Accident
2007-09-24,"Heidelberg, Germany",Other Accident
2007-09-22,"Wiesbaden, Germany",Suicide
2007-08-23,"Frensenburg, Germany",Other Accident
2007-08-19,"Leverkusen-rheindorf, Germany",Suicide
2007-08-04,"Heidelberg, Germany",Maritime Accident
2007-07-17,"Wiesbaden-biebirch, Germany",Suicide
2007-07-14,"Berlin, Germany",Other Accident
2007-07-06,"Bad Duerkheim, Germany",Homicide
2007-07-06,"Bad Duerkheim, Germany",Suicide
2007-06-12,"Koblenz, Germany",Vehicle Accident - Bus
2007-04-20,"Frankfurt, Germany",Suicide
2007-04-07,"Neckarsulm, Germany",Suicide
2007-04-02,"Sulzbachtal, Germany",Homicide
2007-03-25,"Munich, Bavaria, Germany ",Suicide
2007-03-24,"Ensdorf, Bavaria, Germany",Vehicle Accident - Auto
2007-03-20,"Garmisch-partenkirchen, Bavaria, Germany",Other Accident
2007-03-05,"Weiden, Bavaria, Germany",Other Accident
2007-02-12,"Wuerzburg, Bavaria, Germany",Other Accident
2007-01-07,"Happurg, Bavaria, Germany",Suicide
2006-11-29,"Bg Unfalklinik, Germany",Terrorist Action
2006-10-14,"Bochum, Germany",Suicide
2006-10-05,"Rudolf-buchheir, Germany",Vehicle Accident - Auto
2006-09-22,"Frensenburg, Germany",Vehicle Accident - Train
2006-09-22,"Frensenburg, Germany",Vehicle Accident - Train
2006-08-29,"Nuernberg, Bavaria, Geramny",Maritime Accident
2006-08-24,"Tempelhofer Damm, Germany",Other Accident
2006-08-07,"Munich, Germany",Suicide
2006-07-11,"Munich, Bavaria, Germany",Other Accident
2006-07-11,"Munich, Germany",Other Accident
2006-07-10,"Vogelsangstrausse, Germany",Suicide
2006-07-03,"Schweinfurt, Bavaria, Germany",Other Accident
2006-06-29,"Engelsbrand-grundbach, Germany",Suicide
2006-06-15,"Heidelberg, Germany",Maritime Accident
2006-05-23,"Heilbronn, Germany",Vehicle Accident - Auto
2006-05-23,"Mannheim, Germany",Vehicle Accident - Auto
2006-05-22,"Wald-michelbach Kreidach, Germany",Vehicle Accident - Auto
2006-05-08,"Heidelberg, Germany",Vehicle Accident - Auto
2006-04-02,"Buseck, Germany",Suicide
2006-03-28,"Hoheneckenstrasse 6, Ludwigshafen Am Rhein, Germany",Other Accident
2006-03-18,"Highway A 65, Km 115,830, Neustadt An Der Weinstrasse, Germany",Vehicle Accident - Auto
2006-03-13,"Heidenheim-mergelstetten, Germany",Suicide
2006-02-12,"Kaiserslautern, Germany",Vehicle Accident - Auto
2006-02-08,"Hospital St. Johannes, Landstuhl, Germany",Vehicle Accident - Auto
2006-02-08,"Im Hoffluerchen 13, Wittlich, Germany",Drug-Related
2006-01-31,"Berlin, Germany",Suicide
2005-12-30,"Lampertheim, Germany",Suicide
2005-11-20,"Fuerth, Bavaria, Germany",Other Accident
2005-11-19,"Heubach, Germany",Suicide
2005-10-22,"Wiesbaden, Germany",Suicide
2005-10-20,"Niederneuendorfer Allee/aalemannufer, Berlin, Germany",Vehicle Accident - Auto
2005-10-10,"Memmingen, Bavaria, Germany",Vehicle Accident - Auto
2005-10-04,"Boppard, Germany",Other Accident
2005-07-24,"Heidelberg, Germany",Suicide
2005-06-25,"Sankt Augustin, Germany",Homicide
2005-06-10,"U-bahnof, Odeonsplatz, Gleis 2, Munich, Germany",Vehicle Accident - Auto
2005-05-29,"Vincenz Krankenhaus, Germany",Vehicle Accident - Auto
2005-05-25,"Wiesbaden, Germany",Suicide
2005-05-12,"German Federal Road B 19, Between Muennerstadt And Neustadt/sand, Germany",Vehicle Accident - Auto
2005-05-04,"Kempen, Germany",Suicide
2005-05-01,"Mannheim, Germany",Drug-Related
2005-04-24,"Frankfurt Niederrad, Germany",Suicide
2005-03-31,"Hinterzarten, Germany",Suicide
2005-03-27,"Gruenstadt, Germany",Suicide
2005-02-08,"Frankfurt, Germany",Suicide
2005-02-02,"Landau In Der Pfalz, Germany",Suicide
2005-01-26,"Wiesbaden, Germany",Vehicle Accident - Auto
2005-01-24,"Gernsbach, Germany",Vehicle Accident - Auto
2005-01-10,"Lampertheim, Germany",Suicide
2005-01-04,"Moerfelden Walldorf, Germany",Drug-Related
2004-09-30,"Bkh Straubing, Germany",Suicide
2004-09-22,"Mainz Gonsenheim, Germany",Other Accident
2004-09-20,"Kandern, Germany",Drug-Related
2004-09-09,"L21, Dorfstr./strandweg, Ahrenshoop, Germany",Vehicle Accident
2004-08-26,"Ruesselsheim, Germany",Vehicle Accident - Auto
2004-08-26,"Hemmingen, Hannover, Germany",Homicide
2004-08-03,"Duisburg, Germany",Drowning
2004-07-21,"Naumburg, Germany",Suicide
2004-07-19,"Kassel, Germany",Vehicle Accident
2004-07-02,"Landstuhl, Germany",Terrorist Action
2004-06-27,"B 23 (state Road) At Km 6000 In Peiting, Bavaria, Germany",Vehicle Accident - Motorcycle
2004-06-19,"Krankenhaus Barmherzig Brueder, Regensburg, Bavaria, Germany",Vehicle Accident - Pedestrian
2004-06-07,"Muecke, Germany",Suicide
2004-05-27,"Rotenburg, Germany",Other Accident
2004-05-14,"Leun, Germany",Vehicle Accident - Auto
2004-05-05,"Offenbach, Germany",Suicide
2004-04-02,"Hohenahr, Germany",Vehicle Accident - Motorcycle
2004-02-26,"Frankfurt Am Main-mitte, Germany",Suicide
2004-02-16,"Bad Schwalbach Fischbach, Germany",Other Accident
2004-02-16,"Bad Schwalbach Fischbach, Germany",Other Accident
2004-02-05,"Berlin, Germany",Drug-Related
2004-01-31,"Fuerfeld, Road B420, Germany",Vehicle Accident - Auto
2004-01-30,"Oberursel, Germany",Suicide
2004-01-12,"Rottenbuch, Bavaria, Germany",Suicide
2003-09-24,"Arenrath, Germany",Vehicle Accident - Auto
2003-09-03,"State Road 13, Sommerhausen, Bavaria, Germany",Vehicle Accident - Auto
2003-08-06,"Saarbrucken, Germany",Vehicle Accident - Auto
2003-07-30,"Freiburg Im Breisgau, Germany",Suicide
2003-06-30,"Landshut, Germany",Other Accident
2003-05-24,"Bergheim-glessen, Germany",Suicide
2003-05-19,"Stuttgart-moehringen, Germany",Homicide
2003-03-30,"Bad Duerrheim, Germany",Vehicle Accident - Auto
2003-03-28,"Wiesbaden, Germany",Suicide
2003-03-20,"Eggolsheim, Bavaria, Germany",Train Accident
2003-03-05,"Rodenbach, Germany",Other Accident
2003-02-22,"Erlensee, Germany",Other Accident
2003-01-27,"State Road B 13, Ansbach And Burgoberbach, Bavaria, Germany",Vehicle Accident - Auto
2002-12-22,"Wiesbaden, Germany",Suicide
2002-11-24,"Roth, Bavaria, Germany",Homicide
2002-11-09,"Highway Bisfeld, Germany",Vehicle Accident - Auto
2002-10-24,"Boeblingen, Germany",Other Accident
2002-10-15,"Berlin Lichtenrade, Germany",Homicide
2002-10-13,"Hessdorf, Germany",Suicide
2011-10-22,"Trede- Kumasi, Ghana",Vehicle Accident - Auto
2011-10-22,"Trede- Kumasi, Ghana",Vehicle Accident - Auto
2010-02-23,"Juaso, Ghana",Vehicle Accident - Auto
2009-05-24,"Cape Coast, Ghana",Vehicle Accident - Auto
2009-05-15,"Tamale, Tamale, Ghana",Other Accident
2008-05-01,"Tema, Ghana",Homicide
2008-03-30,"Accra, Ghana",Drug-Related
2008-02-03,"Accra, Ghana",Drug-Related
2007-07-03,"Accra, Ghana",Vehicle Accident - Pedestrian
2007-04-15,"Achimota, Ghana",Drowning - Pool
2007-02-05,"Dzorwulu, Ghana",Other Accident
2006-11-20,"Kumasi-accra Road, Nnadiesco, Ghana",Vehicle Accident - Auto
2006-08-14,"Pokauase Road, Ghana",Vehicle Accident - Auto
2006-01-03,"Accra, Ghana",Drowning
2005-12-14,"Accra, Ghana",Vehicle Accident - Auto
2005-01-22,"Cape Coast-jukwa Road, Cape Coast, Ghana",Vehicle Accident - Auto
2004-08-26,"Elmina, Ghana",Drowning
2004-05-27,"On Accra-tema Road, Ghana",Homicide
2004-04-13,"Tema, Ghana",Vehicle Accident - Auto
2003-06-09,"Rta-accra-kumasi Road, Ghana",Vehicle Accident - Auto
2003-05-20,"Maamedede Nsawam, Ghana",Other Accident
2012-12-08,"Kos, Greece",Vehicle Accident - Motorcycle
2012-09-19,"Paros, Greece",Drowning
2012-08-24,"Athens, Greece",Vehicle Accident - Auto
2012-07-11,"Nea Smyrni, Greece",Other Accident
2012-04-14,"Rhodes, Greece",Vehicle Accident - Auto
2012-04-04,"Nea Makri, Greece",Vehicle Accident - Auto
2012-02-10,"Elefsina, Greece",Other Accident
2012-02-07,"Dodecanese, Greece",Drowning
2012-01-22,"Halkida, Evia, Greece",Homicide
2011-11-23,"Pili, Kos, Greece",Other Accident
2011-10-05,"Kini, Syros, Greece",Drowning
2011-09-16,"Thessaloniki, Greece",Vehicle Accident - Motorcycle
2011-09-15,"Pefki, Greece",Suicide
2011-08-03,"Chios, Greece",Drowning
2011-07-29,"Athens, Greece",Vehicle Accident - Auto
2011-05-23,"Santorini Island, Greece",Other Accident
2011-01-27,"Athens, Greece",Other Accident
2010-12-18,"Parasporos, Paros, Greece",Vehicle Accident - Auto
2010-11-02,"Tripolis, Greece",Vehicle Accident - Auto
2010-11-02,"Tripolis, Greece",Vehicle Accident - Auto
2010-09-14,"Nikea, Greece",Vehicle Accident - Motorcycle
2010-09-02,"Korinthos, Greece",Drowning
2010-08-12,"Halkida, Greece",Drowning
2010-08-01,"Agiasos,Lesvos, Greece",Maritime Accident
2010-07-01,"Thessaloniki, Greece",Drowning
2010-06-14,"Voula, Greece",Drowning
2010-04-13,"Tripoli, Greece",Vehicle Accident - Auto
2010-02-24,"Kerkyra, Greece",Other Accident
2009-12-16,"Athens, Greece",Homicide
2009-10-21,"Athens, Greece",Vehicle Accident - Auto
2009-09-19,"Athens, Greece",Other Accident
2009-08-25,"Voula, Greece",Drowning
2009-08-01,"Nerotrivia,Halkida, Greece",Drowning
2009-07-12,"Athens, Greece",Vehicle Accident - Auto
2009-07-12,"Athens, Greece",Vehicle Accident - Auto
2009-07-12,"Athens, Greece",Vehicle Accident - Auto
2009-07-02,"Rhodes, Greece",Drowning
2009-06-30,"Syros, Greece",Drowning
2009-06-08,"Vathi, Ithaki, Greece",Suicide
2009-04-25,"Cyclades, Greece",Drowning
2009-04-10,"Nisiros, Greece",Vehicle Accident - Auto
2009-03-14,"Glyfada, Greece",Vehicle Accident - Auto
2009-03-04,"Pyrgos, Greece",Vehicle Accident - Auto
2009-01-25,"Nikaia, Greece",Other Accident
2008-12-06,"Naxos, Greece",Other Accident
2008-09-18,"Symi, Greece",Drowning - Beach
2008-07-26,"Athens, Greece",Vehicle Accident - Auto
2008-06-30,"Viota, Greece",Drowning
2008-06-06,"Athens, Greece",Vehicle Accident - Auto
2008-04-08,"Athens, Greece",Vehicle Accident - Auto
2007-12-17,"Athens, Greece",Other Accident
2007-10-31,"Kalithea, Greece",Other Accident
2007-09-16,"Mesokambo Sea, Samos, Greece",Drowning
2007-09-04,"Kos, Greece",Drowning - Sea
2007-09-02,"Chania, Crete, Greece",Drowning - Ocean
2007-07-23,"Tripoli-nestani, Greece",Vehicle Accident - Auto
2007-07-14,"Kos, Greece",Vehicle Accident - Motorcycle
2007-05-23,"Eretria, Evia, Greece",Homicide
2007-03-19,"Tripi, Lakonias, Greece",Suicide
2007-01-01,"2.8 Km Dionysou Ave, Dionysos, Attica, Greece",Vehicle Accident - Auto
2006-11-02,"Athens, Greece",Suicide
2006-10-15,"Athens, Greece",Vehicle Accident - Pedestrian
2006-08-04,"Lefkada, Greece",Drowning
2006-07-29,"Lesvos, Greece",Homicide
2006-07-13,"Kalamata, Messinia, Greece",Drowning
2006-07-03,"Stavros, Halkidiki, Greece",Homicide
2006-06-25,"Near Ahaia, Greece",Drowning
2005-10-29,"Rhodes, Greece",Other Accident
2005-10-20,"Athens, Greece",Vehicle Accident - Pedestrian
2005-10-10,"Lavrio, Greece",Homicide
2005-09-17,"Nikaia, Greece",Other Accident
2005-08-25,"Sfakera, Corfu Island, Greece",Vehicle Accident - Motorcycle
2005-08-14,"Grammatiko, Attica, Greece",Air Accident
2005-07-05,"General State Hospital, Athens, Greece",Other Accident
2005-06-12,"Kourountere Area, Samos, Greece",Vehicle Accident - Motorcycle
2005-04-10,"Athens, Greece",Vehicle Accident - Motorcycle
2005-03-31,"Corinthos, Greece",Vehicle Accident - Auto
2005-03-30,"Km 114 Of The National Road Athens-patra, Melisi, Corinthias, Greece",Vehicle Accident - Auto
2004-12-30,"Pyrgi, Hios, Greece",Other Accident
2004-09-13,"Vourlioton, Vatheos, Samos, Greece",Other Accident
2004-08-27,"Sparti, Githio Highway, Lakonia, Greece",Vehicle Accident - Auto
2004-07-16,"Athens, Greece",Vehicle Accident - Auto
2004-06-10,"Mykonos, Greece",Under Investigation
2004-05-09,"222 Syngrou Av., Athens, Greece",Vehicle Accident - Auto
2004-05-06,"Niforeika, Ahaia, Greece",Suicide
2004-02-05,"Agios Panteleimon, Ag. Kyrikos, Ikaria, Greece",Suicide
2004-01-24,"11th Klm Of Thermopilon-antirio Highway, Greece",Other Accident
2003-11-14,"Thessaloniki, Greece",Suicide
2003-11-02,"Kifissia, Athens, Greece",Other Accident
2003-08-21,"Voula, Greece",Drowning
2003-06-22,"Medical Center Of Atalanti, Fthiotida, Greece",Vehicle Accident - Auto
2003-05-19,"National Road Ioanninon, Artas, Greece",Vehicle Accident - Auto
2003-05-16,"Glyfada, Athens, Greece",Suicide
2003-04-05,"Agios Stefanos Avlioton, Corfu, Greece",Drowning
